르네상스,14~16세기 유럽에서 고대 문화를 부흥시킨 문화운동
바로크,17세기 유럽의 화려하고 역동적인 예술 양식
로코코,18세기 유럽의 섬세하고 장식적인 예술 양식
고딕,중세 유럽의 뾰족한 아치와 스테인드글라스 양식
인상주의,빛과 순간의 인상을 표현한 회화 사조
후기인상주의,인상주의 이후 색채와 형태를 실험한 미술
큐비즘,피카소와 브라크가 주도한 입체적 예술 사조
초현실주의,무의식과 꿈의 세계를 표현한 20세기 예술 운동
모더니즘,전통을 거부하고 새로운 표현을 추구한 근대 예술
포스트모더니즘,모더니즘 이후 전통과 혼합을 강조한 예술 경향
팝아트,대중문화를 예술에 도입한 현대 미술
추상표현주의,감정과 무의식을 추상적으로 표현한 예술 운동
미니멀리즘,단순함과 최소한의 요소로 표현하는 예술 사조
표현주의,강렬한 감정과 주관적 관점을 강조한 미술
상징주의,상징을 통해 사물이나 개념을 표현한 미술
다다이즘,기존의 전통적 예술을 부정하고 파격을 추구한 운동
설치미술,공간에 설치하여 감각을 자극하는 현대미술
퍼포먼스아트,행위 자체가 예술이 되는 예술 형태
미디어아트,"영상, 디지털 매체를 활용한 현대 예술"
판화,판에 새긴 그림을 찍어내는 예술
건축,공간과 구조물을 설계하고 창조하는 예술
조각,"돌, 금속, 목재 등을 조형하는 예술"
건축양식,건물의 구조와 미적 특성을 반영한 스타일
모뉴먼트,역사적·기념적 의미를 담은 기념 건축물
고전주의,그리스·로마의 고전적 미학을 따른 건축 및 예술
아르누보,곡선과 식물 문양을 강조한 19세기 말 양식
아르데코,직선적이고 기하학적 장식의 20세기 초 양식
일본식 정원,자연과 조화를 이루는 일본 전통 정원
프랑스식 정원,대칭과 질서를 강조하는 정원 양식
공공미술,공공장소에 설치되는 예술 작품
현대조각,전통 조각 형식에서 벗어난 현대적 표현
건축디자인,"건물의 미적, 기능적 설계를 포함한 예술"
랜드아트,자연 환경을 활용한 예술
조형예술,형태와 구조를 강조한 미술 활동
대리석조각,대리석을 사용한 전통 조각
국악,한국 전통 음악
클래식,서양 전통 음악
재즈,아프리카계 미국인의 음악에서 발전한 장르
블루스,미국 남부 흑인 음악에서 기원한 장르
록,전기 기타 중심의 대중음악 장르
팝,대중적 유행 음악
힙합,랩과 비트 중심의 음악과 문화
EDM,전자기기 기반 댄스 음악
오페라,"노래와 연기, 음악을 결합한 공연 예술"
뮤지컬,"노래, 연기, 춤이 결합된 공연 예술"
발레,음악과 안무를 결합한 무용 예술
관현악,여러 악기로 구성된 오케스트라 연주
합창,여러 명이 화음을 이루어 노래하는 음악
작곡,음악 작품을 창작하는 활동
편곡,기존 곡을 새로운 방식으로 변형하는 것
국악기,한국 전통 악기
서양악기,"바이올린, 피아노 등"
전자음악,전자 장비로 제작한 음악
음악감상,"음악을 감각적, 정서적으로 체험하는 활동"
즉흥연주,즉석에서 만드는 음악 연주
소설,허구 이야기를 장편으로 구성한 문학
단편소설,짧게 구성된 허구 이야기
시,운율과 형식을 통해 감정을 표현
수필,일상적 경험과 생각을 자유롭게 표현
희곡,연극 공연을 목적으로 쓰인 문학
비평,문학이나 예술 작품을 분석하고 평가
번역,다른 언어 작품을 이해할 수 있게 옮기는 활동
고전문학,시대를 초월해 가치 있는 문학 작품
현대문학,현대적 감각과 주제를 다룬 문학
신화,민족 전통 속 신과 영웅 이야기를 담은 이야기
우화,교훈을 담은 이야기
설화,구전으로 전해 내려오는 이야기
시조,한국 전통 정형시
한시,중국 전통 시
판소리,이야기와 노래를 결합한 한국 전통 공연 문학
연극,"배우와 무대, 스토리를 통해 표현하는 예술"
공연예술,"연극, 음악, 무용 등 무대 예술 전반"
인형극,인형을 이용한 공연 예술
거리공연,공공장소에서 이루어지는 공연
마임,몸짓과 표정으로 이야기를 표현하는 공연
서커스,곡예와 공연이 결합된 예술
무대미술,공연 무대의 배경과 장치 설계
의상디자인,공연에서 등장인물 의상 제작
조명디자인,공연에서 조명을 활용한 연출
사운드디자인,공연에서 음향 효과를 설계
무용,몸의 움직임을 통해 감정을 표현하는 예술
현대무용,전통적 형식에서 벗어난 현대적 무용
전통무용,민속과 역사적 배경을 가진 무용
퍼포먼스,관객과 상호작용하며 이루어지는 예술 행위
뮤지컬극,"음악과 연극, 춤을 결합한 공연"
그래픽디자인,시각적 요소를 활용한 정보 전달
인테리어디자인,공간의 미적·기능적 설계
패션디자인,의복과 액세서리 창작
산업디자인,상품과 제품의 기능과 미적 설계
UX/UI,사용자 경험과 인터페이스 디자인
사진예술,카메라를 활용한 시각 예술
영상예술,영상 매체를 활용한 예술
디지털아트,컴퓨터로 제작한 예술
일러스트레이션,삽화 및 시각적 표현
캐릭터디자인,창작 캐릭터의 외형과 특징 설계
아이덴티티디자인,브랜드의 시각적 정체성 디자인
패키지디자인,제품 포장의 디자인
웹디자인,웹사이트의 시각적 구성과 인터페이스
전시디자인,전시 공간과 작품 배치 설계
미술교육,미술을 교육하는 활동
수채화,물감을 물로 희석하여 그리는 회화 기법
유화,기름을 매개로 한 회화 기법
판화,판에 새긴 그림을 찍어내는 미술 기법
도예,점토를 이용한 공예와 예술
공예,손으로 만든 생활용품과 예술 작품
조형예술,형태와 구조를 강조한 미술 활동
입체파,"큐비즘의 한 유형, 다면적 시각 강조"
미래파,"속도와 기계, 현대성을 강조한 미술 운동"
옵아트,착시와 시각 효과를 활용한 예술
스트리트아트,거리에서 이루어지는 현대 미술
그래피티,스프레이 등을 활용한 거리 그림
아트마켓,예술 작품을 거래하는 시장
미술관,미술 작품을 전시하는 공간
박물관,"문화재와 예술품을 수집, 보존, 전시"
갤러리,예술 작품을 상설 또는 임시 전시하는 공간
예술교육,"미술, 음악, 공연 등을 교육하는 활동"
예술치료,예술을 활용한 심리치료
예술경영,예술 기관과 사업 운영
아트페어,작품을 거래하고 전시하는 행사
문화산업,예술과 문화 콘텐츠를 경제적으로 활용하는 산업
국악기,"장구, 가야금, 해금 등 전통 악기"
서양악기,"바이올린, 피아노, 첼로 등"
관악기,"플루트, 클라리넷, 트럼펫 등"
타악기,"드럼, 징, 심벌즈 등"
현악기,"바이올린, 첼로, 기타 등"
전자음악,전자 장비로 제작한 음악
즉흥연주,순간적으로 만들어지는 연주
합주,여러 악기가 함께 연주
솔로,혼자 연주하거나 노래하는 음악
레코딩,음악을 녹음하고 편집하는 과정
믹싱,여러 트랙을 조합하여 최종 음악 제작
마스터링,최종 음질과 볼륨 조절 작업
음악이론,음악 구조와 조화 연구
화성학,음의 조화와 진행을 연구
음계,음악에서 음을 배열한 체계
리듬,시간적 간격과 박자 패턴
박자,음악에서 리듬의 단위
멜로디,음의 흐름과 선율
하모니,"화음, 멜로디 간의 조화"
폴리포니,여러 선율이 동시에 진행되는 음악
장르문학,"특정 장르를 중심으로 한 문학 (판타지, SF 등)"
판타지,상상의 세계를 배경으로 한 문학
SF,과학적 상상력을 기반으로 한 문학
추리소설,사건 해결을 중심으로 한 이야기
호러,공포를 주제로 한 문학
로맨스,사랑을 주제로 한 문학
역사소설,역사적 사건을 배경으로 한 문학
전기,특정 인물의 생애 기록
자서전,자신이 직접 쓴 생애 기록
회고록,자신의 경험과 기억을 회상하여 기록
시집,시를 모아 출간한 책
소설집,단편소설을 모아 출간한 책
문학상,뛰어난 작품에 수여되는 상
문학비평,문학 작품을 분석하고 평가하는 활동
창작,새로운 문학 작품을 만드는 활동
출판,"책을 제작, 배포하는 과정"
전자책,디지털 형태의 책
문예지,문학 작품과 비평을 수록한 잡지
구전문학,말로 전해 내려오는 문학
설화,"신화, 전설, 민담 등을 포함한 이야기"
극작,"연극, 영화, 뮤지컬 등의 대본 창작"
무대연출,배우와 스태프를 지도하며 공연 구성
안무,무용과 동작의 계획과 구성
무대디자인,공연 장치와 배경 설계
음향연출,공연 음향과 효과를 설계
라이브공연,실시간으로 이루어지는 공연
스튜디오공연,녹화된 공연
오프브로드웨이,뉴욕의 소규모 연극 무대
브로드웨이,뉴욕의 대규모 상업 연극 무대
페스티벌,문화와 예술 행사를 중심으로 한 축제
아트페스티벌,예술 중심의 행사
음악페스티벌,음악 공연 중심 행사
무용페스티벌,무용 공연 중심 행사
연극페스티벌,연극 중심 행사
거리축제,공공장소에서 이루어지는 공연과 문화
배우,연극이나 영화에서 역할을 수행하는 사람
연출가,공연을 기획하고 지도하는 사람
무용수,안무에 따라 공연하는 사람
음악가,음악을 연주하거나 창작하는 사람
지휘자,오케스트라를 지휘하는 사람
타이포그래피,글꼴과 문자 디자인
브랜딩,브랜드 이미지 구축 활동
UI디자인,사용자가 인터페이스와 상호작용하도록 설계
UX디자인,사용자 경험을 고려한 디자인
영상디자인,영상 매체를 활용한 시각적 디자인
편집디자인,"책, 잡지, 광고 등의 레이아웃 설계"
포스터디자인,홍보용 시각 디자인
패키지디자인,상품 포장 디자인
캐릭터디자인,창작 캐릭터의 외형 설계
3D디자인,3차원 형태를 설계
인포그래픽,정보를 시각적으로 표현
디지털페인팅,컴퓨터로 그린 그림
콘셉트아트,작품 제작 전 구상 이미지를 표현
설치디자인,공간과 작품을 설치하는 디자인
전시디자인,"미술관, 박물관 전시 공간 설계"
산업디자인,제품과 상품의 미적·기능적 설계
패션일러스트,의상 디자인을 그림으로 표현
건축디자인,건물 외형과 내부 공간 설계
조형디자인,형태와 구조를 미학적으로 설계
문화유산보존,"역사적, 예술적 가치 있는 유산을 보존하는 활동"