구석기,석기를 사용하며 수렵·채집으로 생활한 시대
신석기,농경과 목축을 시작한 시대
청동기,청동 도구와 무기를 사용한 시대
철기,철을 사용하여 농기구와 무기를 만든 시대
메소포타미아,"세계 최초 문명, 티그리스·유프라테스강 유역"
수메르,메소포타미아 최초 도시문명
바빌로니아,함무라비 법전을 만든 고대 왕국
함무라비 법전,"눈에는 눈, 이에는 이" 원칙의 법전
이집트 문명,나일강 유역 고대 문명
피라미드,이집트 고대 왕들의 무덤
폴리스,고대 그리스 도시국가
아테네,민주주의가 발달한 그리스 도시
스파르타,군사 중심의 그리스 도시
올림픽,고대 그리스에서 시작된 체육 행사
소크라테스,"그리스 철학자, 윤리학 중심"
플라톤,이상국가를 주장한 철학자
아리스토텔레스,논리학과 자연철학 발전
로마 공화정,귀족 중심의 정치체제
로마 제국,군주 중심으로 세계를 지배한 국가
카이사르,"로마의 정치가, 군사 지도자"
비잔틴 제국,"동로마 제국, 콘스탄티노폴리스 중심"
봉건제도,영주와 농노로 구성된 정치·경제 체제
기사,봉건사회 군인 계층
성,방어 목적으로 건축된 요새
십자군,성지를 회복하기 위해 유럽에서 출발한 군사 원정
중세 대학,학문 연구와 교육 기관
길드,장인과 상인이 조직한 경제 단체
흑사병,14세기 유럽을 휩쓴 전염병
동서교류,실크로드를 통한 동서양 문화 교류
르네상스,고전문화 부흥과 인간 중심 사고의 시대
대항해시대,신항로 개척과 해외 무역 확장 시기
콜럼버스,아메리카 대륙 발견
마젤란,세계일주를 완수한 탐험가
절대왕정,왕권이 절대적인 국가 체제
루이 14세,프랑스 절대왕정 대표 인물
명나라,"중국을 통치한 왕조, 중앙집권 강화"
청나라,중국 마지막 황조
에스파냐 식민지,아메리카 대륙 정복과 지배
산업혁명,기계화와 공업 발전으로 경제 구조 변화
계몽사상,합리적 사고와 인간 권리를 강조한 사상
미국 독립전쟁,"1775~1783년, 미국의 영국으로부터 독립 전쟁"
프랑스 혁명,"1789년, 봉건제 폐지와 민주주의 확립 운동"
나폴레옹,"프랑스 혁명 이후 권력 장악, 유럽 정복"
산업혁명,기계와 공장 중심 사회 변화
시민혁명,시민 계층 중심 정치 변화
입헌군주제,왕권과 의회가 공존하는 정치 체제
민주주의,국민 주권과 법치주의 기반 정치 체제
사회주의,생산 수단 공동 소유와 평등 강조
마르크스,공산주의 사상 창시자
레닌,"러시아 혁명 지도자, 소련 수립"
제1차 세계대전,"1914~1918년, 유럽 중심 대규모 전쟁"
제2차 세계대전,"1939~1945년, 세계적인 대전"
히틀러,나치 독일 지도자
무솔리니,이탈리아 파시스트 지도자
스탈린,"소련 지도자, 공산주의 독재"
냉전,미국과 소련 간 정치·군사 대립
유엔(UN),국제 평화와 안전 유지 기구
나토(NATO),"북대서양조약기구, 군사 동맹"
EU(유럽연합),유럽 국가 간 정치·경제 연합
탈식민지화,제국주의 식민지의 독립 과정
고조선,단군이 세운 한반도 최초 국가
부여,"북방 민족, 계절별 이동과 축산 중심"
고구려,한반도 북부와 만주 지역 고대 왕국
백제,"한반도 남서부 왕국, 문화 교류 활발"
신라,"한반도 남동부 왕국, 통일 신라로 발전"
가야,"낙동강 유역, 철기 문화 발달"
삼국시대,"고구려, 백제, 신라 세 나라 경쟁"
고구려 장수왕,국내성→평양 천도
법흥왕,신라 중앙 집권과 율령 제정
김유신,신라 삼국통일 전쟁 주역
고려,918년 왕건이 세운 통일 왕조
태조 왕건,고려 건국
광종,과거제와 중앙 집권 강화
성종,유교 정치와 법제 정비
거란 침입,"10~11세기, 고려 북방 방어전"
몽골 침략,"13세기, 원나라와 고려의 관계"
팔만대장경,몽골 침략 대비 목판 인쇄
삼별초,몽골 침략 저항 세력
문벌 귀족,고려 후기 지배 세력
향리,지방 행정 관료
조선,1392년 이성계가 건국한 왕조
태조 이성계,조선 건국
세종대왕,"한글 창제, 과학·문화 발전"
훈민정음,한글의 원래 이름
집현전,학문 연구와 관료 양성 기관
성리학,조선 정치와 사상 기초
사림,유교적 가치 중시한 신진 관료
임진왜란,1592년 일본의 침략 전쟁
정유재란,임진왜란 후속 일본 침략
이순신,"조선 장군, 해전 승리"
흥선대원군,왕권 강화와 개혁 추진
병인양요,1866년 프랑스 침략
신미양요,1871년 미국 함대 공격
개화기,서구 문물 수용과 근대화 시작
갑신정변,1884년 개화당의 정치 개혁 시도
동학농민운동,1894년 농민과 개혁 운동
을미사변,1895년 명성황후 시해 사건
독립협회,근대적 개혁 운동 단체
대한제국,"1897년 고종 황제 즉위, 근대 국가 체제"
한일합병,1910년 일본이 한국 강제 병합
3·1운동,1919년 일제 식민지배에 저항한 독립운동
대한민국 임시정부,1919년 중국 상하이에 수립된 독립 정부
독립군,일제에 맞서 싸운 군사 조직
의열단,항일 무장 단체
봉오동 전투,1920년 독립군이 일본군을 격파한 전투
청산리 전투,독립군 승리 전투
문화통치,일제가 1920년대 시행한 식민지 정책
민족말살정책,일제의 한국 문화·언어 탄압 정책
신간회,민족주의와 사회주의 연합 단체
조선총독부,일제의 한국 통치 기관
광복,1945년 8월 15일 일본으로부터 해방
건국,1948년 대한민국 수립
6·25전쟁,1950~1953년 남북한 전쟁
이승만,대한민국 초대 대통령
장면,"한국의 초대 부통령, 4·19 혁명 관련"
박정희,"군사 정변으로 집권, 경제 개발 추진"
4·19혁명,"1960년 민주화 운동, 이승만 하야"
5·16군사정변,1961년 박정희 주도 쿠데타
유신체제,박정희 대통령 장기집권 체제
6월 민주항쟁,1987년 민주화 운동
러시아 혁명,"1917년, 볼셰비키 정권 수립"
볼셰비키,레닌이 이끈 사회주의 혁명 세력
소비에트,소련의 정치 조직 단위
파시즘,강력한 국가주의와 독재 체제
나치,히틀러가 이끈 독일 극우 정당
홀로코스트,나치 독일 유대인 대학살
대공황,1929년 미국 경제 붕괴
뉴딜정책,미국 루즈벨트의 경제 회복 정책
국제연맹,제1차 세계대전 후 평화 유지 기구
냉전,미국과 소련 중심 세계 양극 체제
메이지유신,"일본 근대화, 중앙집권 강화"
청일전쟁,"1894~1895년, 청나라와 일본의 전쟁"
러일전쟁,"1904~1905년, 러시아와 일본의 전쟁"
신해혁명,"1911년 중국 청나라 멸망, 공화제 수립"
장제스,중국 국민당 지도자
마오쩌둥,"중국 공산당 창립자, 중화인민공화국 수립"
인도 독립운동,간디 중심 비폭력 운동
파키스탄,1947년 인도 분리 독립
베트남 독립전쟁,프랑스·미국에 맞선 항쟁
한·중·일 근대사,각국의 개혁과 제국주의 경험
산업혁명,18~19세기 영국 중심 산업 발전
프랑스 혁명,"1789년 자유, 평등, 박애 강조"
나폴레옹 전쟁,유럽 전역 정복과 정치 개혁
빈체제,나폴레옹 전쟁 후 유럽 질서
1848년 혁명,유럽 자유·민주화 운동
독일통일,1871년 비스마르크 주도 통일
이탈리아통일,19세기 주세페 가리발디 중심 통일
제1차 세계대전,"1914~1918년, 유럽 중심 전쟁"
제2차 세계대전,"1939~1945년, 전 세계 전쟁"
유럽연합(EU),전후 경제·정치 연합
독립선언,1776년 미국 독립 선언
헌법,미국 정부의 기본 법
링컨,노예제 폐지와 남북전쟁 지도자
남북전쟁,"1861~1865년, 연방과 남부 분쟁"
뉴딜정책,경제 대공황 극복 정책
민권운동,흑인 차별 철폐 운동
마틴 루터 킹,민권운동 지도자
월스트리트,미국 금융 중심지
미국 독립혁명,영국 식민지 탈피 전쟁
냉전 미국 정책,대소련 견제 전략
베트남전쟁,미국과 북베트남 전쟁
한국전쟁,1950~1953년 남북 전쟁
아프리카 식민지 해방,20세기 중반 독립
쿠바 혁명,1959년 카스트로 주도
걸프전,1990~1991년 이라크 쿠웨이트 침공
9·11 테러,2001년 미국 테러 사건
아랍의 봄,2010년 중동 민주화 운동
베를린 장벽,1961~1989년 동서 분단 상징
소련 붕괴,1991년 공산권 붕괴
냉전 종식,"동구권 해체, 세계 양극 체제 종료"
민주주의,국민이 권력을 행사하는 정치 체제
공산주의,생산 수단 공동 소유와 평등 사회
사회주의,경제와 사회 평등을 강조하는 체제
자본주의,시장 경제와 사적 소유 기반 체제
파시즘,전체주의적 국가 중심 체제
제국주의,해외 식민지 확장 정책
민족주의,국가·민족 중심 사상
계몽주의,합리적 사고와 인권 강조 사상
르네상스,고전문화 부흥과 인간 중심 사상
산업혁명,기계화와 자본주의 발전
구텐베르크,"인쇄술 발명, 지식 확산"
문예부흥,르네상스 시대 예술 부흥
바로크,화려한 17세기 예술 양식
로코코,섬세하고 우아한 18세기 예술
인상주의,빛과 색을 중시한 19세기 미술
사실주의,현실 묘사 중시 미술 운동
근대문학,개인과 사회를 탐구한 문학
고전문명,그리스·로마 중심 문명
동양사,"중국, 일본, 인도 문명 역사"
중세문화,교회와 기사 중심 문화
민족독립운동,식민지에서 독립을 위해 투쟁
시민혁명,시민 중심 정치 변화
농민운동,농민 계층의 권리 주장
노동운동,노동자 권리와 근로 조건 개선 운동
혁명,기존 정치·사회 질서 근본적 변화
쿠데타,일부 세력이 정권을 강제로 장악
민중봉기,대중이 주도한 정치적 저항
저항운동,억압과 불평등에 맞선 투쟁
사회개혁운동,사회 제도 개선과 권리 확립
국제연합(UN),"평화와 안전, 인권 보호 국제기구"